date,stock,todayPosition
2021-11-17,NKE,-83138.0
2021-11-17,NUE,-127893.0
2021-11-17,EQT,-649350.0
2021-11-18,ALLE,-104680.0
2021-11-18,GPC,-104473.0
2021-11-18,HSY,-79674.0
2021-11-18,CMG,-7910.0
2021-11-18,NKE,-83182.0
2021-11-18,NUE,-130929.0
2021-11-18,EQT,-667868.0
2021-11-19,ALLE,-105875.0
2021-11-19,GPC,-105018.0
2021-11-19,HSY,-79316.0
2021-11-19,CMG,-8029.0
2021-11-19,NKE,0.0
2021-11-19,NUE,-127893.0
2021-11-19,EQT,-677048.0
2021-11-22,ALLE,-106769.0
2021-11-22,GPC,-105632.0
2021-11-22,HSY,-79661.0
2021-11-22,CMG,0.0
2021-11-22,NUE,-126590.0
2021-11-22,EQT,-686153.0
2021-11-23,ALLE,-107751.0
2021-11-23,GPC,-104381.0
2021-11-23,HSY,-78861.0
2021-11-23,NKE,-81988.0
2021-11-23,NUE,-119375.0
2021-11-23,EQT,-683854.0
2021-11-24,ALLE,-108192.0
2021-11-24,GPC,-103624.0
2021-11-24,HSY,-78402.0
2021-11-24,NKE,0.0
2021-11-24,NUE,-119665.0
2021-11-24,EQT,-676086.0
2021-11-26,ALLE,-108208.0
2021-11-26,GPC,-104764.0
2021-11-26,HSY,-78939.0
2021-11-26,NUE,-123376.0
2021-11-26,EQT,-670690.0
2021-11-29,ALLE,-110425.0
2021-11-29,GPC,-107914.0
2021-11-29,HSY,-80292.0
2021-11-29,NUE,-125335.0
2021-11-29,EQT,-680596.0
2021-11-30,ALLE,-111017.0
2021-11-30,GPC,-107484.0
2021-11-30,HSY,-79737.0
2021-11-30,NUE,-127471.0
2021-11-30,EQT,-689797.0
2021-12-01,ALLE,-115542.0
2021-12-01,GPC,-111834.0
2021-12-01,HSY,-80487.0
2021-12-01,CMG,8693.0
2021-12-01,NUE,-134441.0
2021-12-01,EQT,-735240.0
2021-12-02,ALLE,-116342.0
2021-12-02,GPC,-113037.0
2021-12-02,HSY,-81395.0
2021-12-02,CMG,8917.0
2021-12-02,NUE,-136457.0
2021-12-02,EQT,0.0
2021-12-03,ALLE,-111233.0
2021-12-03,GPC,-110000.0
2021-12-03,HSY,-80851.0
2021-12-03,CMG,8866.0
2021-12-03,NUE,-132816.0
2021-12-03,EQT,770120.0
2021-12-06,ALLE,-110553.0
2021-12-06,GPC,-110587.0
2021-12-06,HSY,-79537.0
2021-12-06,CMG,8973.0
2021-12-06,NUE,-129282.0
2021-12-06,EQT,729981.0
2021-12-07,ALLE,-108554.0
2021-12-07,GPC,-108257.0
2021-12-07,HSY,-79057.0
2021-12-07,CMG,8800.0
2021-12-07,NKE,84576.0
2021-12-07,NUE,-129587.0
2021-12-07,EQT,-724060.0
2021-12-08,ALLE,-108438.0
2021-12-08,GPC,-106777.0
2021-12-08,HSY,-78492.0
2021-12-08,CMG,8346.0
2021-12-08,NKE,83401.0
2021-12-08,NUE,-125302.0
2021-12-08,EQT,-695168.0
2021-12-09,ALLE,-107832.0
2021-12-09,GPC,-106633.0
2021-12-09,HSY,-77970.0
2021-12-09,CMG,-8213.0
